[RunNo]	[DetNo]	[Date]	[Full Time]	[Live Time]	[VetoEff]	[AdMu]	[ShMu]	[WpMu]	[NetMu]	[muRate]
21221	1	1324800712	122849	100367	0.817	2627854	18774	20628854	20640778	205.652
21221	2	1324800712	122849	99951	0.813611	2623718	20111	20628854	20553302	205.634
21228	1	1324949772	166494	135927	0.816407	3565395	25825	34777930	27928883	205.47
21228	2	1324949772	166494	135543	0.814103	3545777	27056	34777930	27837977	205.381
21235	1	1325119578	171581	140103	0.816543	3674222	26415	29178146	28814346	205.666
21235	2	1325119578	171581	139762	0.814557	3649779	27614	29178146	28724060	205.521
21349	1	1325305833	136604	111466	0.815982	2925196	21211	23018175	22952271	205.912
21349	2	1325305833	136604	111071	0.813091	2911691	22513	23018175	22860227	205.816
21358	1	1325461545	172665	140818	0.815555	3708137	27017	29086515	28993539	205.894
21358	2	1325461545	172665	140601	0.8143	3677621	27821	29086515	28926649	205.735
21367	1	1325635132	171531	140021	0.816303	3684745	26482	28924347	28852330	206.057
21367	2	1325635132	171531	139515	0.813355	3656028	28096	28924347	28731315	205.936
21374	1	1325765454	85208.5	69519.5	0.815875	1832702	13209	14388816	14345819	206.357
21374	2	1325765454	85208.5	69305.4	0.813363	1820332	13884	14388816	14294761	206.257
21505	1	1325911927	137361	112169	0.8166	2940389	21179	23079071	23066184	205.637
21505	2	1325911927	137361	111768	0.813683	2930026	22437	23079071	22976821	205.575
21508	1	1326069490	170975	139601	0.816497	3663419	26305	28918331	28745317	205.911
21508	2	1326069490	170975	139166	0.813953	3641969	27713	28918331	28638913	205.79
21520	1	1326248784	166606	135969	0.816108	3557482	25765	28338868	28021500	206.088
21520	2	1326248784	166606	135545	0.813561	3548612	27062	28338868	27932059	206.073
21530	1	1326370373	63258.2	51657.7	0.816616	1351675	9643	10770040	10653169	206.226
21530	2	1326370373	63258.2	51524.9	0.814517	1346666	10090	10770040	10622734	206.167
21540	1	1326466851	70772.3	57730.4	0.81572	1517042	10925	12111052	11935224	206.741
21540	2	1326466851	70772.3	57482.5	0.812217	1508974	11707	12111052	11877915	206.635
21651	1	1326531275	1917.56	1560.24	0.813658	41291	308	327482	322131	206.462
21651	2	1326531275	1917.56	1569.75	0.81862	41018	282	327482	324057	206.438
21653	1	1326604279	140894	114993	0.816171	3025861	21689	24134264	23730641	206.366
21653	2	1326604279	140894	114686	0.813992	3006272	22701	24134264	23655695	206.265
21660	1	1326762459	134937	110062	0.815655	2898254	20910	22950310	22756423	206.76
21660	2	1326762459	134937	109749	0.813335	2879296	21902	22950310	22678575	206.64
21678	1	1326874279	42214.4	34434.7	0.81571	906475	6540	7187868	7117479	206.695
21678	2	1326874279	42214.4	34306.5	0.812672	899747	6939	7187868	7086415	206.562
21690	1	1326990620	59438	48533.2	0.816536	1272463	9169	9959091	9990071	205.84
21690	2	1326990620	59438	48341.4	0.813308	1263303	9798	9959091	9944560	205.715
21804	1	1327070390	39696.1	32415.3	0.816587	848052	6121	6647420	6667855	205.701
21804	2	1327070390	39696.1	32299.8	0.813677	844953	6496	6647420	6641716	205.627
21810	1	1327190968	148635	121414	0.816862	3169576	22855	27347143	24965644	205.623
21810	2	1327190968	148635	121018	0.814196	3159434	24144	27347143	24880995	205.597
21829	1	1327365967	167656	136882	0.816446	3573532	25956	28114680	28174168	205.828
21829	2	1327365967	167656	136478	0.814037	3560661	27219	28114680	28086727	205.796
21850	1	1327539851	167532	137037	0.817975	3565596	25299	28006930	28148602	205.408
21850	2	1327539851	167532	136497	0.814753	3554636	27010	28006930	28031286	205.361
21861	1	1327630314	6483.54	5325.5	0.821389	137612	918	1087295	1091184	204.898
21861	2	1327630314	6483.54	5267.41	0.812428	137274	1097	1087295	1079181	204.879
21868	1	1327634684	783.665	641.759	0.818919	16542	120	130962	131836	205.429
21868	2	1327634684	783.665	637.289	0.813216	16634	130	130962	130704	205.094
21872	1	1327673765	74799.2	61188.1	0.818031	1591542	11275	12510487	12579821	205.593
21872	2	1327673765	74799.2	60837.6	0.813346	1587211	12375	12510487	12506922	205.579
21960	1	1327769569	54503.2	44514.8	0.816737	1162614	8419	9123730	9161978	205.819
21960	2	1327769569	54503.2	44381.1	0.814285	1158190	8801	9123730	9131987	205.763
21974	1	1327846818	76136.5	62109	0.815758	1620621	11972	12718796	12761775	205.474
21974	2	1327846818	76136.5	61969.1	0.813921	1614912	12436	12718796	12729665	205.42
21982	1	1327920599	70218	57367.8	0.816995	1494265	10762	11784052	11806377	205.802
21982	2	1327920599	70218	57166.4	0.814127	1490970	11400	11784052	11763881	205.783
22002	1	1328016853	82615.1	67471.6	0.816699	1757257	12729	13872269	13893890	205.922
22002	2	1328016853	82615.1	67293	0.814536	1756808	13264	13872269	13858506	205.943
22008	1	1328144562	170091	138929	0.816789	3621540	26187	28498756	28577615	205.7
22008	2	1328144562	170091	138441	0.813923	3613240	27722	28498756	28471215	205.656
22111	1	1328285315	63344.6	51694.3	0.81608	1351453	9854	10644158	10655462	206.124
22111	2	1328285315	63344.6	51555.5	0.813889	1345320	10299	10644158	10624022	206.069
22118	1	1328402812	169943	138734	0.816355	3629740	26174	28633805	28660916	206.589
22118	2	1328402812	169943	138271	0.813629	3613888	27617	28633805	28558964	206.544
22128	1	1328490707	4333.13	3540.29	0.817029	92823	663	730670	732299	206.847
22128	2	1328490707	4333.13	3535.32	0.815881	92324	678	730670	730928	206.75
22138	1	1328590983	145105	118365	0.815719	3096855	22606	24527577	24450933	206.573
22138	2	1328590983	145105	117986	0.81311	3092125	23759	24527577	24369482	206.545
22141	1	1328749817	167761	136875	0.815893	3580658	26019	28359737	28245959	206.363
22141	2	1328749817	167761	136583	0.814151	3568541	27000	28359737	28179614	206.319
22243	1	1328893468	57183.3	46686.3	0.816433	1219269	8737	9696475	9646896	206.632
