[RunNo]	[DetNo]	[Date]	[Full Time]	[Live Time]	[VetoEff]	[AdMu]	[ShMu]	[WpMu]	[NetMu]	[muRate]
21223	1	1324800987	125097	122546	0.979607	153108	1693	2580342	2894493	23.6196
21223	2	1324800987	125097	122379	0.97827	240227	1817	2580342	2975246	24.3118
21223	3	1324800987	125097	122467	0.978972	166607	1844	2580342	2906256	23.731
21232	1	1324950253	167203	163868	0.980051	207580	2326	3274883	3704342	22.6057
21232	2	1324950253	167203	163663	0.978827	331764	2413	3274883	3821329	23.3488
21232	3	1324950253	167203	163745	0.979317	221111	2586	3274883	3715155	22.6887
21241	1	1325119883	171543	168177	0.980376	215323	2362	3290929	3721214	22.1268
21241	2	1325119883	171543	167932	0.978947	353719	2502	3290929	3850686	22.93
21241	3	1325119883	171543	168043	0.979594	223698	2675	3290929	3726564	22.1763
21355	1	1325306280	137161	134526	0.980795	180024	1819	2547964	2914580	21.6655
21355	2	1325306280	137161	134321	0.979295	283653	1981	2547964	3011092	22.4172
21355	3	1325306280	137161	134412	0.979963	180604	2106	2547964	2913129	21.6731
21364	1	1325462030	171780	168479	0.980779	227017	2372	3642121	3592374	21.3224
21364	2	1325462030	171780	168295	0.979712	333130	2473	3642121	3690702	21.9299
21364	3	1325462030	171780	168375	0.980178	225892	2637	3642121	3588281	21.3112
21373	1	1325637194	175618	172296	0.981083	236758	2376	3128905	3610829	20.9572
21373	2	1325637194	175618	172082	0.979869	357425	2499	3128905	3724424	21.6433
21373	3	1325637194	175618	172228	0.980696	218891	2616	3128905	3591924	20.8557
21375	1	1325731052	11610.6	11389.3	0.980945	15760	166	203958	235731	20.6975
21375	2	1325731052	11610.6	11373.8	0.979605	24095	176	203958	243822	21.4372
21375	3	1325731052	11610.6	11390.7	0.981063	13672	169	203958	233677	20.5147
21396	1	1325773275	70299.4	68958.8	0.980931	93886	1009	1233229	1425926	20.6779
21396	2	1325773275	70299.4	68874	0.979725	137438	1074	1233229	1466520	21.2928
21396	3	1325773275	70299.4	68943.8	0.980717	81264	1094	1233229	1413557	20.503
21502	1	1325911787	139721	137139	0.981517	172180	1928	2399160	2768617	20.1884
21502	2	1325911787	139721	136935	0.980058	292053	2033	2399160	2881657	21.044
21502	3	1325911787	139721	137070	0.981026	165802	2128	2399160	2760782	20.1414
21514	1	1326069445	170420	167332	0.981883	206357	2330	2846845	3296107	19.698
21514	2	1326069445	170420	167062	0.980299	353003	2505	2846845	3433945	20.5549
21514	3	1326069445	170420	167244	0.981365	201169	2569	2846845	3289199	19.6671
21525	1	1326160078	139.565	137.776	0.987184	188	0	2296	2700	19.597
21525	2	1326160078	139.565	136.822	0.980343	307	2	2296	2806	20.5085
21525	3	1326160078	139.565	137.404	0.984514	165	1	2296	2688	19.5628
21526	3	1326243859	161300	158308	0.981454	190886	2460	2651041	3072911	19.411
21527	1	1326336298	4820.54	4719.23	0.978982	5898	82	93031	105362	22.3261
21527	2	1326336298	4820.54	4710.91	0.977256	10284	88	93031	109397	23.2221
21527	3	1326336298	4820.54	4726.54	0.9805	5809	64	93031	105451	22.3104
21536	1	1326370725	61882.1	60774.4	0.9821	74966	812	1033553	1197316	19.701
21536	2	1326370725	61882.1	60686.2	0.980674	119178	880	1033553	1238366	20.4061
21536	3	1326370725	61882.1	60728.6	0.98136	74042	930	1033553	1195553	19.6868
21546	1	1326467185	69856.4	68609.9	0.982157	83856	939	1146294	1331341	19.4045
21546	2	1326467185	69856.4	68526.3	0.98096	120055	1024	1146294	1364275	19.9088
21546	3	1326467185	69856.4	68560	0.981442	83705	1068	1146294	1329572	19.3928
21644	2	1326602177	145684	142935	0.981125	236983	2140	2390332	2821425	19.7393
21644	3	1326602177	145684	142972	0.981384	172925	2266	2390332	2760149	19.3055
21662	1	1326703476	55845.9	54860.1	0.982349	67611	724	913033	1061994	19.3582
21662	2	1326703476	55845.9	54789.2	0.981078	95536	812	913033	1087368	19.8464
21662	3	1326703476	55845.9	54805	0.981362	67449	865	913033	1060896	19.3576
21669	1	1326792497	47364.6	46504.7	0.981845	57098	675	775396	900987	19.3741
21669	2	1326792497	47364.6	46464.5	0.980995	86429	675	775396	928674	19.9868
21669	3	1326792497	47364.6	46486.8	0.981467	56846	721	775396	900726	19.376
21670	1	1326833646	28997.4	28467.8	0.981736	34809	420	476472	553321	19.4367
21670	2	1326833646	28997.4	28432.1	0.980506	56846	434	476472	573975	20.1876
21670	3	1326833646	28997.4	28457	0.981364	35941	443	476472	553524	19.4512
21680	1	1326873787	41269.9	40526.1	0.981976	49963	575	674366	783822	19.3412
21680	2	1326873787	41269.9	40490.7	0.98112	80218	561	674366	812875	20.0756
21680	3	1326873787	41269.9	40511.7	0.981627	50669	610	674366	784135	19.3558
21691	1	1326990452	59371.7	58312.6	0.982162	72069	789	978332	1136475	19.4894
21691	2	1326990452	59371.7	58243.4	0.980997	115453	810	978332	1177738	20.221
21691	3	1326990452	59371.7	58263.2	0.98133	72430	913	978332	1135851	19.4952
21807	1	1327070629	37932.6	37247.7	0.981944	45829	523	626077	726462	19.5036
21807	2	1327070629	37932.6	37203.5	0.980779	75877	531	626077	754875	20.2904
21807	3	1327070629	37932.6	37215.1	0.981084	46866	603	626077	726905	19.5326
21818	1	1327120345	25121.7	24680.1	0.98242	30183	315	415853	482487	19.5496
21818	2	1327120345	25121.7	24634	0.980586	47811	372	415853	498461	20.2347
21818	3	1327120345	25121.7	24673.3	0.982148	30646	331	415853	482384	19.5509
21821	1	1327160166	38996	38306.2	0.982311	46986	502	644835	747900	19.5243
